reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Unnamed tributary to Wichcika Creek,57696_ds,stream,00000PARS,236-615600-610000-000000-000000-000000-000000,,,1,43705,GPS general,10,563667,6037630,visible channel,
2,Unnamed tributary to Wichcika Creek,57696_us,stream,00000PARS,236-615600-610000-000000-000000-000000-000000,,,2,43705,geographic information system (GIS),10,564171,6037942,visible channel,
3,Unnamed tributary to Missinka River,125175_us,stream,00000PARS,236-614900-253000-000000-000000-000000-000000,,,3,43706,geographic information system (GIS),10,571772,6051998,visible channel,
4,Unnamed tributary to Missinka River,125175_ds,stream,00000PARS,236-614900-253000-000000-000000-000000-000000,,,4,43706,GPS general,10,571487,6051852,visible channel,
5,Unnamed tributary to Missinka River,125179_us,stream,00000PARS,236-614900-209000-330000-000000-000000-000000,,,5,43706,geographic information system (GIS),10,570308,6052835,visible channel,
6,Unnamed tributary to Missinka River,125179_ds,stream,00000PARS,236-614900-209000-330000-000000-000000-000000,,,6,43706,GPS general,10,569998,6052686,visible channel,
7,Unnamed tributary to Parsnip River,125403_us,stream,00000PARS,,1,,7,43707,geographic information system (GIS),10,520140,6084908,visible channel,
8,Unnamed tributary to Parsnip River,125403_ds,stream,00000PARS,,1,,8,43707,GPS general,10,520223,6084881,visible channel,
9,Unnamed tributary to Wichcika Creek,57695_ds,stream,00000PARS,236-615600-595000-000000-000000-000000-000000,,,9,43709,GPS general,10,563196,6038338,visible channel,
10,Unnamed tributary to Wichcika Creek,57695_us,stream,00000PARS,236-615600-595000-000000-000000-000000-000000,,,10,43709,geographic information system (GIS),10,563257,6038803,visible channel,
11,Unnamed tributary to Wichcika Creek,57690_us,stream,00000PARS,236-615600-210000-000000-000000-000000-000000,,,11,43709,geographic information system (GIS),10,555027,6046138,visible channel,
12,Unnamed tributary to Wichcika Creek,57690_ds,stream,00000PARS,236-615600-210000-000000-000000-000000-000000,,,12,43709,GPS general,10,555252,6046038,visible channel,
13,Unnamed tributary to Parsnip River,125000_us,stream,00000PARS,236-738000-000000-000000-000000-000000-000000,,,13,43710,geographic information system (GIS),10,577534,6038205,visible channel,
14,Unnamed tributary to Parsnip River,125000_ds,stream,00000PARS,236-738000-000000-000000-000000-000000-000000,,,14,43345,GPS general,10,577330,6038336,visible channel,
15,Unnamed tributary to Missinka River,125128_us,stream,00000PARS,236-614900-539000-000000-000000-000000-000000,,,15,43345,geographic information system (GIS),10,583454,6051827,visible channel,
16,Unnamed tributary to Missinka River,125128_ds,stream,00000PARS,236-614900-539000-000000-000000-000000-000000,,,16,43345,GPS general,10,583390,6051798,visible channel,
17,Unnamed tributary to Table River,125231_ds,stream,00000PARS,236-450800-154000-000000-000000-000000-000000,,,17,43712,GPS general,10,549707,6064992,visible channel,
18,Unnamed tributary to Table River,125231_us,stream,00000PARS,236-450800-154000-000000-000000-000000-000000,,,18,43713,geographic information system (GIS),10,549976,6065139,visible channel,
19,Unnamed tributary to Parsnip River,125247_us,stream,00000PARS,236-426000-000000-000000-000000-000000-000000,,,19,43714,geographic information system (GIS),10,542959,6062815,visible channel,
20,Unnamed tributary to Parsnip River,125247_ds,stream,00000PARS,236-426000-000000-000000-000000-000000-000000,,,20,43714,GPS general,10,543049,6062633,visible channel,
21,Unnamed tributary to Table River,197485_ds,stream,00000PARS,236-450800-072000-000000-000000-000000-000000,,,21,43712,GPS general,10,547525,6063831,visible channel,
22,Unnamed tributary to Table River,197485_us,stream,00000PARS,236-450800-072000-000000-000000-000000-000000,,,22,43713,GPS general,10,547303,6063955,visible channel,
23,Unnamed tributary to Parsnip River,125253_ds,stream,00000PARS,236-380900-000000-000000-000000-000000-000000,,,23,43712,GPS general,10,537612,6064559,visible channel,
24,Unnamed tributary to Parsnip River,125253_us,stream,00000PARS,236-380900-000000-000000-000000-000000-000000,,,24,43714,GPS general,10,537735,6064732,visible channel,
25,Unnamed tributary to Parsnip River,125345_us,stream,00000PARS,236-238900-000000-000000-000000-000000-000000,,,25,43714,GPS general,10,522573,6083673,visible channel,
26,Unnamed tributary to Parsnip River,125345_ds,stream,00000PARS,236-238900-000000-000000-000000-000000-000000,,,26,43714,GPS general,10,522578,6083463,visible channel,
27,Unnamed tributary to Parsnip River,57681_us,stream,00000PARS,236-349500-000000-000000-000000-000000-000000,,,27,43714,GPS general,10,533218,6067620,visible channel,
28,Unnamed tributary to Missinka River,125180_us,stream,00000PARS,236-614900-209000-000000-000000-000000-000000,,,28,43716,GPS general,10,569649,6053047,visible channel,
29,Unnamed tributary to Missinka River,125180_ds,stream,00000PARS,236-614900-209000-000000-000000-000000-000000,,,29,43716,GPS general,10,569692,6052690,visible channel,
30,Unnamed tributary to Missinka River,125186_us,stream,00000PARS,236-614900-107000-000000-000000-000000-000000,,,30,43716,GPS general,10,565417,6052678,visible channel,
31,Unnamed tributary to Missinka River,125186_ds,stream,00000PARS,236-614900-107000-000000-000000-000000-000000,,,31,43716,GPS general,10,565424,6052383,visible channel,
32,Unnamed tributary to Parsnip River,125098_us,stream,00000PARS,,2,,32,43716,GPS general,10,582902,6035080,visible channel,
33,Unnamed tributary to Parsnip River,125098_ds,stream,00000PARS,,2,,33,43716,GPS general,10,583025,6034993,visible channel,
