reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Unnamed tributary to Wichcika Creek,57696_ds,00000PARS,0,1,4.4,4.6,3.3,4.3,4.7,,,4.26,metre tape,2.8,2.5,2.5,3.9,3.8,,,3.1,metre tape,0.2,0.6,0.5,0.3,0.5,,,0.42,metre stick,0.3,0.3,0.3,,0.3,metre stick,13,10,14,8,0.1125,clinometer,moderate,,7,recording meter,146,recording meter,8.699999999999998,pH meter (general),clear,moderate,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,none,1-20%,abundant,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,fines,,coniferous forest,mature forest,cobbles,boulders,60,15,step-pool,sinuous,Partially Coupled,frequently confined,rock outcrop,1.5,1,ground estimate,10,564094,6037945,gps,Good habitat. Particularly the lowest 200m.  Surveyed downstream for 700 m to confluence with Wichcika River.   Some deep pools for overwintering.  Occasional pockets of gravel suitable for spawning. Rock falls located approximately 75 mbelow the crossing would likely present barrier to all but adult adfluvial bull trout.  Abundant large woody debris througout.  Stable stream channel.0.5m long rock outcrop (datasheet allows 1m accuracy inputs only).
2,Unnamed tributary to Wichcika Creek,57696_us,00000PARS,0,2,3.4,4,4.7,3.5,3.4,,,3.8,metre tape,3.4,3.9,3.9,2.6,2.9,,,3.34,metre tape,0.45,0.4,,,,,,0.425,metre stick,0.4,0.3,,,0.35,metre stick,12,17,14,,0.14333333333333334,clinometer,moderate,,7,recording meter,146,recording meter,8.699999999999998,pH meter (general),Clear,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,cobbles,coniferous forest,mature forest,sloping,boulders,,coniferous forest,mature forest,cobbles,boulders,80,19,step-pool,sinuous,Partially Coupled,occasionally confined,cascade or Chute,4,15,ground estimate,10,564408,6038489,gps,Moderate value habitat.  Surveyed upstream for 650 m to impassable cascade. Some occasional pools. Frequent steps 30 - 50 cm due to large woody debris jams.  Mature spreuce forest. Cascade at top end of site not passable by any species or life stage. Good sized stream with som intermittent small paches of gravel suitable forspawning. Overall nice stream but unlikely overly important to adfluvial bull trout populations due to limited spawning habitat.  Too steep for rainbow access due to rock drop below the crossing.
3,Unnamed tributary to Missinka River,125175_us,00000PARS,0,3,2,2.4,4,1.8,2.5,3.3,1.3,2.4714285714285715,metre tape,1.6,1.5,3.7,1.6,2.1,2.5,1.2,2.0285714285714285,metre tape,,,,,,,,,,0.25,0.3,0.2,,0.25,metre stick,9,10,8,,0.08999999999999998,clinometer,moderate,yes,7,recording meter,43,recording meter,7.8,pH meter (general),Clear,moderate,sub-dominant,trace,trace,sub-dominant,none,dominant,none,71-90%,few,evenly distributed,mosses,undercut,fines,gravels,coniferous forest,young forest,sloping,gravels,fines,coniferous forest,young forest,gravels,cobbles,40,15,step-pool,sinuous,Partially Coupled,frequently confined,,,,,,,,,Moderate to low value habitat. Surveyed upstream for 565 m.   Lack of large woody debris and no deep pools. At approximately 300m upstream of culvert stream spilts into three tributaries.  Western most tributary has the most flow.  Abundant gravels but very little to no overwintering habitat available if fish passage was restored at the crossing.
4,Unnamed tributary to Missinka River,125175_ds,00000PARS,0,4,2,3.8,1.5,2.7,3.3,3.5,2.7,2.7857142857142856,metre tape,2,2.9,1.3,2.5,2.5,2.5,1.5,2.4,metre tape,0.3,0.3,0.27,,,,,0.29,metre stick,0.2,0.3,0.3,,0.26666666666666666,metre stick,6,4,4,3,0.0425,clinometer,moderate,,7,recording meter,43,recording meter,7.8,pH meter (general),Clear,moderate,sub-dominant,trace,none,sub-dominant,trace,dominant,none,41-70%,none,,mosses,undercut,fines,,coniferous forest,young forest,sloping,fines,,shrubs,shrub,gravels,fines,30,8,cascade-pool,sinuous,Partially Coupled,frequently confined,,,,,,,,,Moderate value habitat.  Surveyed downstream for 400 m.  Abundant gravels throughout.  No barriers in surveyed area.  No funcional large woody debris but abundant small woody debris and ndercut banks. Higher value habitat below the culvert than above.
5,Unnamed tributary to Missinka River,125179_us,00000PARS,0,5,3.3,3.8,3,3.7,4.3,4.4,4.4,3.8428571428571434,metre tape,2.9,3.7,2.7,3.1,3.9,3.9,3.9,2.5,metre tape,0.25,0.45,0.3,0.5,0.45,,,0.39,metre stick,0.2,0.3,0.4,,0.3,metre stick,10,9,7,,0.08666666666666666,clinometer,moderate,,8,recording meter,32,recording meter,8.4,pH meter (general),Clear,abundant,sub-dominant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,gravels,coniferous forest,young forest,undercut,gravels,fines,coniferous forest,young forest,cobbles,gravels,40,20,step-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Good habitat.  Surveyed upstream for 520 m.  Some deep pools for overwintering and rearing.  Large woody debris and undercut banks throughout. Sections of gravel suitable for spawning.  Good flow.
6,Unnamed tributary to Missinka River,125179_ds,00000PARS,0,6,2.9,2.9,2.6,0.85,3,3.3,4,2.792857142857143,metre tape,2.6,2.7,2.5,0.8,2,2.5,4,2.442857142857143,metre tape,0.5,0.6,1.35,0.5,,,,0.7375,metre stick,0.3,0.5,0.5,,0.43333333333333335,metre stick,8,5,6,,0.06333333333333332,clinometer,moderate,,8,recording meter,32,recording meter,8.4,pH meter (general),Clear,abundant,sub-dominant,sub-dominant,none,sub-dominant,sub-dominant,dominant,none,21-40%,abundant,evenly distributed,mosses,undercut,fines,gravels,mixed forest,mature forest,undercut,gravels,fines,mixed forest,mature forest,cobbles,gravels,60,9,step-pool,sinuous,Partially Coupled,unconfined,,,,,,,,,Good habitat. Surveyed downstream for  360 m.  No barriers observed and none likely downstream of surveyed section due to gradients.  Abundant large woody debris and gravels suitable for spawning.
7,Unnamed tributary to Parsnip River,125403_us,00000PARS,0,7,2.7,2,1.6,2,,,,2.075,metre tape,2.6,1.8,1.35,1.9,,,,1.9125,metre tape,0.5,0.45,,,,,,0.475,metre stick,0.2,0.2,,,0.2,metre stick,2,0.1,,,0.0105,clinometer,moderate,,7,recording meter,230,recording meter,8.4,pH meter (general),Clear,abundant,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,1-20%,few,evenly distributed,mosses,sloping,fines,,shrubs,shrub,undercut,fines,,coniferous forest,young forest,gravels,fines,,8,riffle-pool,sinuous,Decoupled,occasionally confined,beaver dam,1.2,1,metre stick,10,520059,6084723,gps,"Surveyed upstream for approximately 350 m.  Beaver influenced wetland for first 50 m then small stream with deep polls and undercut banks, overhanging vegetation.  Large wetland upstream of beaver dam located at approx. 200m from crossing.  Fixing culvert provides access to plateau wetland areas and not a priority. 0.5m long beaver dam (datasheet allows 1m accuracy inputs only)."
8,Unnamed tributary to Parsnip River,125403_ds,00000PARS,0,8,3,2.5,2,1.5,,,,2.25,metre tape,3,2.5,1.8,1.1,,,,2.1,metre tape,0.43,,,,,,,0.43,metre stick,0.1,0.3,,,0.2,metre stick,2,3,,,0.025,ground estimate,moderate,,7,recording meter,230,recording meter,8.4,pH meter (general),Clear,abundant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,sub-dominant,71-90%,few,evenly distributed,mosses,sloping,fines,,shrubs,shrub,undercut,fines,,shrubs,shrub,fines,gravels,,4,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,Survyed downstream for 120 m.  Very thick shrubs over stream with small channel meandering througout muddy substrate on floodplain of the Parsnip River.
9,Unnamed tributary to Wichcika Creek,57695_ds,00000PARS,0,9,4.1,5,2.8,4.5,5.3,3.4,,4.183333333333333,metre tape,2.4,3.3,2.8,3,4.8,3.4,,3.2833333333333328,metre tape,0.3,0.35,0.3,0.4,0.35,0.4,0.6,0.3857142857142857,metre stick,0.3,0.2,0.3,,0.26666666666666666,metre stick,11,6,9,,0.08666666666666666,clinometer,moderate,,,,,,,,Clear,moderate,sub-dominant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,fines,,coniferous forest,mature forest,cobbles,gravels,100,12,step-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Good habitat.  Surveyed downstream for 520 m upstream of PCSIS crossing 57695 to beyond historic observation of bull trout.  Site is also labelled as PSCIS 125424.  Stable mature streambed with frequent pieces of functional large woody debris stepping channel to grade.  Extensive areas of gravels suitable for spawning.  Steps throughout up to 0.6 m in high due to large woody debris.
10,Unnamed tributary to Wichcika Creek,57695_us,00000PARS,0,10,5.1,7,3.2,3.6,3.5,4.2,,4.433333333333334,metre tape,3.9,5.2,2.9,2.1,2.9,3.4,,3.4,metre tape,0.5,0.3,0.4,0.3,0.4,,,0.38000000000000006,metre stick,0.25,0.3,0.2,,0.25,metre stick,7,14,16,8,0.1125,clinometer,moderate,,,,,,,,Clear,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,trace,sub-dominant,trace,1-20%,few,evenly distributed,mosses,undercut,fines,gravels,coniferous forest,shrub,sloping,fines,gravels,coniferous forest,mature forest,cobbles,boulders,80,20,step-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,"Moderate habitat value. Surveyed upstream for 920 m.  Larger stream wth pockets of gravels, some shallow pools and some widely spaced large woody devris.  No bariers observed besides debris jams of 50 - 100cm.  These obstructions are non-permanent and likley navigateable at different flows and by large fish."
