species_code,Watershed,upstream_area_ha,Count,total_spp,Percent
BT,0 - 2500ha,16,2,236,1
BT,0 - 2500ha,75,1,236,0
BT,0 - 2500ha,76,1,236,0
BT,0 - 2500ha,85,1,236,0
BT,0 - 2500ha,90,1,236,0
BT,0 - 2500ha,93,3,236,1
BT,0 - 2500ha,96,1,236,0
BT,0 - 2500ha,100,1,236,0
BT,0 - 2500ha,112,1,236,0
BT,0 - 2500ha,128,1,236,0
BT,0 - 2500ha,133,1,236,0
BT,0 - 2500ha,155,1,236,0
BT,0 - 2500ha,168,1,236,0
BT,0 - 2500ha,175,1,236,0
BT,0 - 2500ha,192,1,236,0
BT,0 - 2500ha,214,2,236,1
BT,0 - 2500ha,226,1,236,0
BT,0 - 2500ha,294,1,236,0
BT,0 - 2500ha,297,1,236,0
BT,0 - 2500ha,324,1,236,0
BT,0 - 2500ha,330,1,236,0
BT,0 - 2500ha,347,1,236,0
BT,0 - 2500ha,356,1,236,0
BT,0 - 2500ha,374,2,236,1
BT,0 - 2500ha,404,1,236,0
BT,0 - 2500ha,422,1,236,0
BT,0 - 2500ha,430,1,236,0
BT,0 - 2500ha,456,1,236,0
BT,0 - 2500ha,460,2,236,1
BT,0 - 2500ha,468,1,236,0
BT,0 - 2500ha,470,1,236,0
BT,0 - 2500ha,488,3,236,1
BT,0 - 2500ha,491,3,236,1
BT,0 - 2500ha,507,1,236,0
BT,0 - 2500ha,512,1,236,0
BT,0 - 2500ha,513,1,236,0
BT,0 - 2500ha,582,1,236,0
BT,0 - 2500ha,585,1,236,0
BT,0 - 2500ha,599,2,236,1
BT,0 - 2500ha,690,1,236,0
BT,0 - 2500ha,716,1,236,0
BT,0 - 2500ha,722,1,236,0
BT,0 - 2500ha,725,1,236,0
BT,0 - 2500ha,870,1,236,0
BT,0 - 2500ha,903,1,236,0
BT,0 - 2500ha,930,1,236,0
BT,0 - 2500ha,937,1,236,0
BT,0 - 2500ha,948,1,236,0
BT,0 - 2500ha,1019,1,236,0
BT,0 - 2500ha,1048,1,236,0
BT,0 - 2500ha,1069,2,236,1
BT,0 - 2500ha,1106,1,236,0
BT,0 - 2500ha,1170,1,236,0
BT,0 - 2500ha,1242,1,236,0
BT,0 - 2500ha,1348,1,236,0
BT,0 - 2500ha,1384,2,236,1
BT,0 - 2500ha,1466,1,236,0
BT,0 - 2500ha,1538,2,236,1
BT,0 - 2500ha,1541,1,236,0
BT,0 - 2500ha,1585,2,236,1
BT,0 - 2500ha,1595,1,236,0
BT,0 - 2500ha,1637,1,236,0
BT,0 - 2500ha,1714,1,236,0
BT,0 - 2500ha,1748,1,236,0
BT,0 - 2500ha,1779,1,236,0
BT,0 - 2500ha,1883,1,236,0
BT,0 - 2500ha,1920,1,236,0
BT,0 - 2500ha,1940,1,236,0
BT,0 - 2500ha,1984,1,236,0
BT,0 - 2500ha,2030,1,236,0
BT,0 - 2500ha,2054,1,236,0
BT,0 - 2500ha,2065,1,236,0
BT,0 - 2500ha,2262,2,236,1
BT,02500 - 5000ha,2515,1,236,0
BT,02500 - 5000ha,2586,1,236,0
BT,02500 - 5000ha,2605,1,236,0
BT,02500 - 5000ha,2687,1,236,0
BT,02500 - 5000ha,2701,1,236,0
BT,02500 - 5000ha,2783,1,236,0
BT,02500 - 5000ha,2799,2,236,1
BT,02500 - 5000ha,2825,1,236,0
BT,02500 - 5000ha,2863,2,236,1
BT,02500 - 5000ha,2932,2,236,1
BT,02500 - 5000ha,2935,4,236,2
BT,02500 - 5000ha,3031,1,236,0
BT,02500 - 5000ha,3088,1,236,0
BT,02500 - 5000ha,3294,1,236,0
BT,02500 - 5000ha,3947,1,236,0
BT,02500 - 5000ha,3960,1,236,0
BT,02500 - 5000ha,3984,1,236,0
BT,02500 - 5000ha,4093,1,236,0
BT,02500 - 5000ha,4135,1,236,0
BT,02500 - 5000ha,4320,1,236,0
BT,02500 - 5000ha,4819,1,236,0
BT,05000 - 7500ha,5071,1,236,0
BT,05000 - 7500ha,5095,1,236,0
BT,05000 - 7500ha,5328,1,236,0
BT,05000 - 7500ha,5723,1,236,0
BT,05000 - 7500ha,5916,1,236,0
BT,05000 - 7500ha,6286,1,236,0
BT,05000 - 7500ha,6380,1,236,0
BT,05000 - 7500ha,6442,1,236,0
BT,05000 - 7500ha,6538,1,236,0
BT,05000 - 7500ha,7070,2,236,1
BT,05000 - 7500ha,7373,1,236,0
BT,07500 - 10000ha,7797,1,236,0
BT,07500 - 10000ha,8580,1,236,0
BT,07500 - 10000ha,8684,1,236,0
BT,07500 - 10000ha,8962,2,236,1
BT,07500 - 10000ha,9107,1,236,0
BT,07500 - 10000ha,9656,1,236,0
BT,07500 - 10000ha,9912,2,236,1
BT,10000ha+,10087,1,236,0
BT,10000ha+,10834,1,236,0
BT,10000ha+,10962,1,236,0
BT,10000ha+,11390,1,236,0
BT,10000ha+,11481,1,236,0
BT,10000ha+,11803,2,236,1
BT,10000ha+,11909,1,236,0
BT,10000ha+,12032,1,236,0
BT,10000ha+,13465,1,236,0
BT,10000ha+,14712,1,236,0
BT,10000ha+,14931,2,236,1
BT,10000ha+,15074,1,236,0
BT,10000ha+,15917,1,236,0
BT,10000ha+,16905,1,236,0
BT,10000ha+,17379,1,236,0
BT,10000ha+,18216,1,236,0
BT,10000ha+,18782,1,236,0
BT,10000ha+,18827,1,236,0
BT,10000ha+,18847,1,236,0
BT,10000ha+,18864,1,236,0
BT,10000ha+,19277,2,236,1
BT,10000ha+,19721,1,236,0
BT,10000ha+,20324,1,236,0
BT,10000ha+,21060,1,236,0
BT,10000ha+,21603,1,236,0
BT,10000ha+,21738,1,236,0
BT,10000ha+,22082,1,236,0
BT,10000ha+,22563,2,236,1
BT,10000ha+,23438,1,236,0
BT,10000ha+,23805,1,236,0
BT,10000ha+,23856,1,236,0
BT,10000ha+,27025,2,236,1
BT,10000ha+,27357,1,236,0
BT,10000ha+,27515,1,236,0
BT,10000ha+,27614,1,236,0
BT,10000ha+,27715,1,236,0
BT,10000ha+,28577,1,236,0
BT,10000ha+,29604,1,236,0
BT,10000ha+,29618,1,236,0
BT,10000ha+,30575,1,236,0
BT,10000ha+,31294,1,236,0
BT,10000ha+,31712,1,236,0
BT,10000ha+,32011,1,236,0
BT,10000ha+,32710,1,236,0
BT,10000ha+,32811,2,236,1
BT,10000ha+,33038,1,236,0
BT,10000ha+,34526,1,236,0
BT,10000ha+,35216,1,236,0
BT,10000ha+,36421,1,236,0
BT,10000ha+,36495,1,236,0
BT,10000ha+,36596,1,236,0
BT,10000ha+,40246,1,236,0
BT,10000ha+,42339,1,236,0
BT,10000ha+,43305,2,236,1
BT,10000ha+,45472,1,236,0
BT,10000ha+,45602,1,236,0
BT,10000ha+,46984,1,236,0
BT,10000ha+,49268,1,236,0
BT,10000ha+,55078,1,236,0
BT,10000ha+,56298,1,236,0
BT,10000ha+,60000,1,236,0
BT,10000ha+,66355,2,236,1
BT,10000ha+,77287,1,236,0
BT,10000ha+,77837,1,236,0
BT,10000ha+,86805,1,236,0
BT,10000ha+,119621,1,236,0
BT,10000ha+,261915,1,236,0
BT,10000ha+,262016,1,236,0
BT,10000ha+,264729,2,236,1
BT,10000ha+,277532,1,236,0
BT,10000ha+,383089,3,236,1
BT,10000ha+,383803,2,236,1
